group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
by_model_id,1,985,716,0.7269035532994924,16,0.016243654822335026,0.0223463687150838,1582,0.1675094816687737,0.3843236409608091,0.46270543615676357
by_model_id,13,1732,1411,0.8146651270207852,117,0.06755196304849885,0.08291991495393337,2183,0.05451213925790197,0.13330279431974348,0.2478240952817224
by_model_id,14,26,20,0.7692307692307693,3,0.11538461538461539,0.15,54,0.2037037037037037,0.3333333333333333,0.3333333333333333
by_model_id,19,47,0,0.0,0,0.0,0.0,137,0.19708029197080293,0.26277372262773724,0.32116788321167883
by_model_id,2,735,254,0.345578231292517,34,0.04625850340136054,0.13385826771653545,2275,0.11120879120879121,0.29406593406593406,0.3384615384615385
by_model_id,21,931,875,0.9398496240601504,128,0.13748657357679914,0.1462857142857143,773,0.045278137128072445,0.20310478654592498,0.3428201811125485
by_model_id,22,6,6,1.0,0,0.0,0.0,5,0.0,0.2,0.6
by_model_id,24,69,60,0.8695652173913043,3,0.043478260869565216,0.05,214,0.2616822429906542,0.4439252336448598,0.5373831775700935
by_model_id,29,1255,533,0.42470119521912353,87,0.06932270916334661,0.16322701688555347,3773,0.12006360985952823,0.300556586270872,0.35754041876490855
by_model_id,42,358,168,0.4692737430167598,1,0.002793296089385475,0.005952380952380952,1045,0.07368421052631578,0.21435406698564594,0.33779904306220093
by_model_id,43,275,87,0.31636363636363635,0,0.0,0.0,896,0.06808035714285714,0.19196428571428573,0.32142857142857145
by_model_id,47,20,3,0.15,0,0.0,0.0,61,0.13114754098360656,0.29508196721311475,0.4262295081967213
by_model_id,5,26,23,0.8846153846153846,0,0.0,0.0,36,0.6666666666666666,0.6944444444444444,0.7222222222222222
by_model_id,53,129,77,0.5968992248062015,1,0.007751937984496124,0.012987012987012988,276,0.16666666666666666,0.2572463768115942,0.3188405797101449
by_model_id,54,225,190,0.8444444444444444,0,0.0,0.0,472,0.11016949152542373,0.23516949152542374,0.3114406779661017
by_model_id,56,651,310,0.47619047619047616,5,0.007680491551459293,0.016129032258064516,1431,0.16002795248078266,0.2613556953179595,0.3584905660377358
by_model_id,62,1623,789,0.48613678373382624,17,0.010474430067775724,0.021546261089987327,4230,0.09787234042553192,0.20638297872340425,0.30189125295508273
by_model_id,63,491,369,0.7515274949083504,30,0.06109979633401222,0.08130081300813008,1025,0.11902439024390243,0.2146341463414634,0.3073170731707317
by_model_id,65,441,262,0.5941043083900227,80,0.18140589569160998,0.3053435114503817,833,0.27130852340936373,0.4249699879951981,0.5498199279711885
by_model_id,7,5,4,0.8,0,0.0,0.0,7,0.42857142857142855,0.7142857142857143,0.7142857142857143
by_model_id,75,86,48,0.5581395348837209,1,0.011627906976744186,0.020833333333333332,254,0.11023622047244094,0.23228346456692914,0.32677165354330706
by_model_id,78,114,62,0.543859649122807,0,0.0,0.0,325,0.09230769230769231,0.24307692307692308,0.36615384615384616
by_model_id,79,39,31,0.7948717948717948,19,0.48717948717948717,0.6129032258064516,103,0.2621359223300971,0.3106796116504854,0.5339805825242718
by_model_id,9,49,46,0.9387755102040817,2,0.04081632653061224,0.043478260869565216,117,0.09401709401709402,0.21367521367521367,0.24786324786324787
