group,value,total_samples,reasoning_success_count,reasoning_success_rate,final_answer_correct_count,final_answer_accuracy,answer_accuracy_among_successful_reasoning,theorem_selection_labeled_steps,theorem_selection_top1_accuracy,theorem_selection_top3_accuracy,theorem_selection_top5_accuracy
by_model_id,1,6,6,1.0,1,0.16666666666666666,0.16666666666666666,10,0.1,0.2,0.3
by_model_id,11,12,5,0.4166666666666667,1,0.08333333333333333,0.2,20,0.35,0.5,0.55
by_model_id,12,5,3,0.6,1,0.2,0.3333333333333333,13,0.07692307692307693,0.3076923076923077,0.38461538461538464
by_model_id,13,5,4,0.8,1,0.2,0.25,13,0.07692307692307693,0.5384615384615384,0.6153846153846154
by_model_id,14,2,2,1.0,1,0.5,0.5,5,0.2,0.8,0.8
by_model_id,16,1,0,0.0,0,0.0,0.0,6,0.0,0.3333333333333333,0.5
by_model_id,17,9,8,0.8888888888888888,0,0.0,0.0,34,0.3235294117647059,0.4117647058823529,0.5294117647058824
by_model_id,2,10,9,0.9,1,0.1,0.1111111111111111,37,0.35135135135135137,0.4594594594594595,0.5675675675675675
by_model_id,21,9,9,1.0,2,0.2222222222222222,0.2222222222222222,7,0.0,0.0,0.0
by_model_id,29,10,9,0.9,0,0.0,0.0,36,0.3333333333333333,0.4166666666666667,0.5277777777777778
by_model_id,3,3,2,0.6666666666666666,1,0.3333333333333333,0.5,2,0.5,0.5,0.5
by_model_id,33,3,2,0.6666666666666666,0,0.0,0.0,12,0.4166666666666667,0.4166666666666667,0.4166666666666667
by_model_id,41,7,6,0.8571428571428571,5,0.7142857142857143,0.8333333333333334,12,0.4166666666666667,0.5833333333333334,0.5833333333333334
by_model_id,42,7,4,0.5714285714285714,1,0.14285714285714285,0.25,20,0.3,0.5,0.6
by_model_id,43,7,4,0.5714285714285714,1,0.14285714285714285,0.25,20,0.3,0.5,0.6
by_model_id,47,5,2,0.4,1,0.2,0.5,16,0.125,0.375,0.4375
by_model_id,49,1,1,1.0,0,0.0,0.0,5,0.2,0.2,0.2
by_model_id,5,9,9,1.0,4,0.4444444444444444,0.4444444444444444,25,0.24,0.36,0.4
by_model_id,52,9,6,0.6666666666666666,1,0.1111111111111111,0.16666666666666666,22,0.5454545454545454,0.6363636363636364,0.6818181818181818
by_model_id,53,9,8,0.8888888888888888,2,0.2222222222222222,0.25,23,0.34782608695652173,0.5217391304347826,0.6521739130434783
by_model_id,54,4,2,0.5,1,0.25,0.5,7,0.7142857142857143,0.7142857142857143,0.7142857142857143
by_model_id,55,1,0,0.0,0,0.0,0.0,2,0.5,0.5,0.5
by_model_id,56,17,10,0.5882352941176471,3,0.17647058823529413,0.3,42,0.35714285714285715,0.5,0.5714285714285714
by_model_id,57,2,1,0.5,0,0.0,0.0,4,0.25,0.25,0.25
by_model_id,62,15,9,0.6,3,0.2,0.3333333333333333,37,0.2702702702702703,0.4594594594594595,0.5405405405405406
by_model_id,63,21,14,0.6666666666666666,3,0.14285714285714285,0.21428571428571427,55,0.3090909090909091,0.45454545454545453,0.5272727272727272
by_model_id,65,11,7,0.6363636363636364,4,0.36363636363636365,0.5714285714285714,22,0.5,0.6363636363636364,0.6363636363636364
by_model_id,66,22,15,0.6818181818181818,6,0.2727272727272727,0.4,53,0.32075471698113206,0.49056603773584906,0.5660377358490566
by_model_id,68,3,1,0.3333333333333333,1,0.3333333333333333,1.0,3,0.3333333333333333,0.6666666666666666,0.6666666666666666
by_model_id,7,6,4,0.6666666666666666,2,0.3333333333333333,0.5,9,0.5555555555555556,0.7777777777777778,0.8888888888888888
by_model_id,70,4,2,0.5,1,0.25,0.5,13,0.07692307692307693,0.3076923076923077,0.38461538461538464
by_model_id,75,6,6,1.0,2,0.3333333333333333,0.3333333333333333,8,0.25,0.75,0.75
by_model_id,76,1,1,1.0,0,0.0,0.0,0,0.0,0.0,0.0
by_model_id,77,13,8,0.6153846153846154,5,0.38461538461538464,0.625,25,0.28,0.44,0.48
by_model_id,78,3,2,0.6666666666666666,1,0.3333333333333333,0.5,2,0.5,0.5,0.5
by_model_id,79,23,16,0.6956521739130435,6,0.2608695652173913,0.375,55,0.3090909090909091,0.509090909090909,0.6
by_model_id,9,4,4,1.0,0,0.0,0.0,18,0.16666666666666666,0.2777777777777778,0.3888888888888889
